year,skill_group_category,skill_group_name,isic_section_index,isic_section_name,industry_name,skill_group_penetration_rate
2015,Business Skills,Accounts Payable,J,Information and communication,Computer Software,5.30E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Outsourcing/Offshoring,5.20E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Marketing & Advertising,5.10E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Biotechnology,5.00E-04
2015,Business Skills,Accounts Payable,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",4.90E-04
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Financial Services,4.80E-04
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Insurance,4.60E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Paper & Forest Products,4.40E-04
2015,Business Skills,Accounts Payable,J,Information and communication,Computer Hardware,3.70E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Pharmaceuticals,3.60E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Management Consulting,3.50E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Aviation & Aerospace,3.40E-04
2015,Business Skills,Accounts Payable,R,"Arts, entertainment and recreation ",Entertainment,3.10E-04
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Investment Management,2.80E-04
2015,Business Skills,Accounts Payable,M,Professional scientific and technical activities,Events Services,2.80E-04
2015,Business Skills,Accounts Payable,J,Information and communication,Publishing,2.70E-04
2015,Business Skills,Accounts Payable,J,Information and communication,Internet,2.70E-04
2015,Business Skills,Accounts Payable,C,Manufacturing,Renewables & Environment,2.70E-04
2015,Business Skills,Accounts Payable,J,Information and communication,Broadcast Media,2.30E-04
2015,Business Skills,Accounts Payable,K,Financial and insurance activities,Banking,2.30E-04
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Executive Office,0.01143
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Veterinary,0.0071
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Law Practice,0.00423
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Legal Services,0.00416
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Venture Capital & Private Equity,0.00374
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Accounting,0.00287
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.00239
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Investment Management,0.00228
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.00173
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Architecture & Planning,0.00152
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Insurance,0.00147
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Environmental Services,0.00125
2015,Business Skills,Administrative Assistance,C,Manufacturing,Automotive,0.00118
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Market Research,0.00117
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Research,0.00116
2015,Business Skills,Administrative Assistance,J,Information and communication,Computer Networking,0.00115
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Management Consulting,0.00113
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Biotechnology,0.0011
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Financial Services,0.00109
2015,Business Skills,Administrative Assistance,B,Mining and quarrying,Oil & Energy,0.00109
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Events Services,0.00108
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Design,0.00104
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.00102
2015,Business Skills,Administrative Assistance,C,Manufacturing,Machinery,0.00102
2015,Business Skills,Administrative Assistance,C,Manufacturing,Pharmaceuticals,0.001
2015,Business Skills,Administrative Assistance,C,Manufacturing,Printing,0.001
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Public Relations & Communications,9.90E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Chemicals,9.10E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Electrical & Electronic Manufacturing,9.10E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Food Production,9.00E-04
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,8.80E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Information Technology & Services,8.70E-04
2015,Business Skills,Administrative Assistance,B,Mining and quarrying,Mining & Metals,8.70E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Internet,8.60E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Packaging & Containers,7.80E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Publishing,7.50E-04
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Museums & Institutions,7.40E-04
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Arts & Crafts,7.30E-04
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Photography,7.20E-04
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Professional Training & Coaching,7.20E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Computer Software,7.00E-04
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Sports,6.70E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Plastics,6.60E-04
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Information Services,6.60E-04
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Entertainment,6.60E-04
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Marketing & Advertising,6.50E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Writing & Editing,6.30E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Semiconductors,6.20E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Telecommunications,6.10E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Textiles,6.00E-04
2015,Business Skills,Administrative Assistance,K,Financial and insurance activities,Banking,5.70E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Renewables & Environment,5.50E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Industrial Automation,5.40E-04
2015,Business Skills,Administrative Assistance,C,Manufacturing,Aviation & Aerospace,5.40E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Media Production,3.90E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Broadcast Media,3.90E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Online Media,3.80E-04
2015,Business Skills,Administrative Assistance,M,Professional scientific and technical activities,Graphic Design,3.30E-04
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Fine Art,2.50E-04
2015,Business Skills,Administrative Assistance,J,Information and communication,Computer & Network Security,2.40E-04
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Performing Arts,2.10E-04
2015,Business Skills,Administrative Assistance,R,"Arts, entertainment and recreation ",Music,1.50E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Marketing & Advertising,0.0657
2015,Business Skills,Advertising,J,Information and communication,Online Media,0.03774
2015,Business Skills,Advertising,J,Information and communication,Broadcast Media,0.03349
2015,Business Skills,Advertising,J,Information and communication,Newspapers,0.03086
2015,Business Skills,Advertising,J,Information and communication,Internet,0.02744
2015,Business Skills,Advertising,J,Information and communication,Publishing,0.02742
2015,Business Skills,Advertising,C,Manufacturing,Printing,0.02486
2015,Business Skills,Advertising,J,Information and communication,Media Production,0.02482
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Graphic Design,0.02464
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Sports,0.02117
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Public Relations & Communications,0.01769
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Photography,0.01667
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Entertainment,0.01577
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Events Services,0.01198
2015,Business Skills,Advertising,J,Information and communication,Motion Pictures & Film,0.01142
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Design,0.01107
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Market Research,0.00852
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Music,0.0073
2015,Business Skills,Advertising,J,Information and communication,Computer Games,0.00524
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.00497
2015,Business Skills,Advertising,J,Information and communication,Writing & Editing,0.00334
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Information Services,0.00319
2015,Business Skills,Advertising,J,Information and communication,Computer Software,0.00318
2015,Business Skills,Advertising,J,Information and communication,Information Technology & Services,0.00302
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Arts & Crafts,0.00293
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Fine Art,0.00259
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Management Consulting,0.00251
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Professional Training & Coaching,0.00213
2015,Business Skills,Advertising,J,Information and communication,Telecommunications,0.0018
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.00175
2015,Business Skills,Advertising,C,Manufacturing,Automotive,0.00172
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Performing Arts,0.00165
2015,Business Skills,Advertising,K,Financial and insurance activities,Financial Services,0.00158
2015,Business Skills,Advertising,C,Manufacturing,Textiles,0.00151
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Museums & Institutions,0.00148
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.00127
2015,Business Skills,Advertising,C,Manufacturing,Food Production,0.00125
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Law Practice,0.00119
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Legal Services,9.80E-04
2015,Business Skills,Advertising,K,Financial and insurance activities,Banking,9.80E-04
2015,Business Skills,Advertising,K,Financial and insurance activities,Investment Management,9.70E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Architecture & Planning,9.70E-04
2015,Business Skills,Advertising,J,Information and communication,Computer & Network Security,9.70E-04
2015,Business Skills,Advertising,K,Financial and insurance activities,Insurance,9.60E-04
2015,Business Skills,Advertising,J,Information and communication,Computer Hardware,8.60E-04
2015,Business Skills,Advertising,R,"Arts, entertainment and recreation ",Animation,7.70E-04
2015,Business Skills,Advertising,C,Manufacturing,Electrical & Electronic Manufacturing,7.10E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Accounting,6.90E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Executive Office,6.30E-04
2015,Business Skills,Advertising,C,Manufacturing,Pharmaceuticals,5.30E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,5.20E-04
2015,Business Skills,Advertising,C,Manufacturing,Chemicals,5.10E-04
2015,Business Skills,Advertising,C,Manufacturing,Machinery,4.30E-04
2015,Business Skills,Advertising,C,Manufacturing,Industrial Automation,4.20E-04
2015,Business Skills,Advertising,C,Manufacturing,Renewables & Environment,3.60E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Environmental Services,3.20E-04
2015,Business Skills,Advertising,C,Manufacturing,Packaging & Containers,3.10E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Research,3.00E-04
2015,Business Skills,Advertising,M,Professional scientific and technical activities,Biotechnology,2.50E-04
2015,Business Skills,Advertising,B,Mining and quarrying,Oil & Energy,2.30E-04
2015,Business Skills,Affiliate Marketing,M,Professional scientific and technical activities,Marketing & Advertising,5.60E-04
2015,Business Skills,Affiliate Marketing,J,Information and communication,Internet,5.10E-04
2015,Business Skills,Affiliate Marketing,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",1.20E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Accounting,0.03686
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Management Consulting,0.00729
2015,Business Skills,Auditing,K,Financial and insurance activities,Insurance,0.00483
2015,Business Skills,Auditing,K,Financial and insurance activities,Financial Services,0.00452
2015,Business Skills,Auditing,B,Mining and quarrying,Oil & Energy,0.0044
2015,Business Skills,Auditing,K,Financial and insurance activities,Investment Management,0.00407
2015,Business Skills,Auditing,B,Mining and quarrying,Mining & Metals,0.00398
2015,Business Skills,Auditing,K,Financial and insurance activities,Banking,0.00346
2015,Business Skills,Auditing,C,Manufacturing,Textiles,0.0034
2015,Business Skills,Auditing,C,Manufacturing,Packaging & Containers,0.00333
2015,Business Skills,Auditing,C,Manufacturing,Food Production,0.00315
2015,Business Skills,Auditing,C,Manufacturing,Chemicals,0.00305
2015,Business Skills,Auditing,C,Manufacturing,Pharmaceuticals,0.00237
2015,Business Skills,Auditing,C,Manufacturing,Paper & Forest Products,0.00233
2015,Business Skills,Auditing,C,Manufacturing,Electrical & Electronic Manufacturing,0.00233
2015,Business Skills,Auditing,J,Information and communication,Semiconductors,0.00212
2015,Business Skills,Auditing,C,Manufacturing,Automotive,0.00205
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Biotechnology,0.00201
2015,Business Skills,Auditing,C,Manufacturing,Renewables & Environment,0.00196
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.00184
2015,Business Skills,Auditing,C,Manufacturing,Machinery,0.00182
2015,Business Skills,Auditing,J,Information and communication,Telecommunications,0.00172
2015,Business Skills,Auditing,C,Manufacturing,Plastics,0.00169
2015,Business Skills,Auditing,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.00161
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Environmental Services,0.00145
2015,Business Skills,Auditing,C,Manufacturing,Aviation & Aerospace,0.00134
2015,Business Skills,Auditing,J,Information and communication,Information Technology & Services,0.00131
2015,Business Skills,Auditing,J,Information and communication,Computer Software,0.00124
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Law Practice,0.00107
2015,Business Skills,Auditing,R,"Arts, entertainment and recreation ",Entertainment,0.00103
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Legal Services,9.80E-04
2015,Business Skills,Auditing,J,Information and communication,Broadcast Media,9.70E-04
2015,Business Skills,Auditing,C,Manufacturing,Industrial Automation,9.60E-04
2015,Business Skills,Auditing,J,Information and communication,Internet,9.50E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Outsourcing/Offshoring,7.50E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Research,7.00E-04
2015,Business Skills,Auditing,J,Information and communication,Publishing,7.00E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Marketing & Advertising,7.00E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Architecture & Planning,5.50E-04
2015,Business Skills,Auditing,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",4.90E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Events Services,3.40E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Professional Training & Coaching,3.20E-04
2015,Business Skills,Auditing,M,Professional scientific and technical activities,Design,2.40E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Accounting,0.01538
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Law Practice,0.00239
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Executive Office,0.00143
2015,Business Skills,Bookkeeping,C,Manufacturing,Printing,0.00137
2015,Business Skills,Bookkeeping,B,Mining and quarrying,Oil & Energy,0.00124
2015,Business Skills,Bookkeeping,C,Manufacturing,Packaging & Containers,0.00109
2015,Business Skills,Bookkeeping,C,Manufacturing,Food Production,0.00109
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Legal Services,0.00104
2015,Business Skills,Bookkeeping,K,Financial and insurance activities,Venture Capital & Private Equity,0.00102
2015,Business Skills,Bookkeeping,C,Manufacturing,Machinery,9.90E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Textiles,9.80E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Electrical & Electronic Manufacturing,0.00093
2015,Business Skills,Bookkeeping,C,Manufacturing,Automotive,9.20E-04
2015,Business Skills,Bookkeeping,K,Financial and insurance activities,Financial Services,9.10E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Environmental Services,8.90E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Plastics,8.50E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,7.30E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Architecture & Planning,7.30E-04
2015,Business Skills,Bookkeeping,J,Information and communication,Information Technology & Services,6.80E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Chemicals,6.60E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Industrial Automation,6.60E-04
2015,Business Skills,Bookkeeping,K,Financial and insurance activities,Insurance,6.50E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Marketing & Advertising,6.40E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Outsourcing/Offshoring,6.30E-04
2015,Business Skills,Bookkeeping,J,Information and communication,Computer Software,5.80E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Paper & Forest Products,5.50E-04
2015,Business Skills,Bookkeeping,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",5.30E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Events Services,5.10E-04
2015,Business Skills,Bookkeeping,K,Financial and insurance activities,Investment Management,4.80E-04
2015,Business Skills,Bookkeeping,B,Mining and quarrying,Mining & Metals,4.80E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Design,4.80E-04
2015,Business Skills,Bookkeeping,J,Information and communication,Broadcast Media,4.70E-04
2015,Business Skills,Bookkeeping,R,"Arts, entertainment and recreation ",Entertainment,4.60E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Management Consulting,4.60E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Biotechnology,4.00E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Pharmaceuticals,3.80E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Renewables & Environment,3.60E-04
2015,Business Skills,Bookkeeping,J,Information and communication,Semiconductors,3.40E-04
2015,Business Skills,Bookkeeping,J,Information and communication,Internet,3.40E-04
2015,Business Skills,Bookkeeping,C,Manufacturing,Aviation & Aerospace,3.40E-04
2015,Business Skills,Bookkeeping,J,Information and communication,Telecommunications,3.30E-04
2015,Business Skills,Bookkeeping,R,"Arts, entertainment and recreation ",Music,2.90E-04
2015,Business Skills,Bookkeeping,J,Information and communication,Media Production,2.00E-04
2015,Business Skills,Bookkeeping,K,Financial and insurance activities,Banking,1.90E-04
2015,Business Skills,Bookkeeping,M,Professional scientific and technical activities,Research,1.50E-04
2015,Business Skills,Business Management,K,Financial and insurance activities,Venture Capital & Private Equity,0.06701
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Management Consulting,0.06422
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Outsourcing/Offshoring,0.05357
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Professional Training & Coaching,0.05172
2015,Business Skills,Business Management,C,Manufacturing,Food Production,0.04867
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Executive Office,0.04857
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Information Services,0.04398
2015,Business Skills,Business Management,K,Financial and insurance activities,Insurance,0.04322
2015,Business Skills,Business Management,K,Financial and insurance activities,Financial Services,0.04299
2015,Business Skills,Business Management,J,Information and communication,Information Technology & Services,0.0414
2015,Business Skills,Business Management,K,Financial and insurance activities,Investment Banking,0.03945
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Market Research,0.03833
2015,Business Skills,Business Management,C,Manufacturing,Renewables & Environment,0.03808
2015,Business Skills,Business Management,J,Information and communication,Telecommunications,0.03754
2015,Business Skills,Business Management,K,Financial and insurance activities,Banking,0.03745
2015,Business Skills,Business Management,C,Manufacturing,Machinery,0.0371
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Gambling & Casinos,0.03684
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Accounting,0.0367
2015,Business Skills,Business Management,C,Manufacturing,Chemicals,0.03667
2015,Business Skills,Business Management,C,Manufacturing,Automotive,0.03641
2015,Business Skills,Business Management,C,Manufacturing,Paper & Forest Products,0.03566
2015,Business Skills,Business Management,B,Mining and quarrying,Mining & Metals,0.03492
2015,Business Skills,Business Management,C,Manufacturing,Packaging & Containers,0.03465
2015,Business Skills,Business Management,C,Manufacturing,Pharmaceuticals,0.0344
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Veterinary,0.03419
2015,Business Skills,Business Management,K,Financial and insurance activities,Investment Management,0.03257
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Environmental Services,0.03236
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Mechanical Or Industrial Engineering,0.03127
2015,Business Skills,Business Management,C,Manufacturing,Electrical & Electronic Manufacturing,0.03098
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ","Health, Wellness & Fitness",0.03047
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Events Services,0.02981
2015,Business Skills,Business Management,J,Information and communication,Computer Software,0.02953
2015,Business Skills,Business Management,J,Information and communication,Internet,0.02784
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Marketing & Advertising,0.02729
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Legal Services,0.02691
2015,Business Skills,Business Management,C,Manufacturing,Plastics,0.02648
2015,Business Skills,Business Management,C,Manufacturing,Textiles,0.02615
2015,Business Skills,Business Management,C,Manufacturing,Industrial Automation,0.02602
2015,Business Skills,Business Management,B,Mining and quarrying,Oil & Energy,0.02526
2015,Business Skills,Business Management,J,Information and communication,Computer Hardware,0.02435
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Sports,0.02394
2015,Business Skills,Business Management,C,Manufacturing,Aviation & Aerospace,0.02357
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Biotechnology,0.02184
2015,Business Skills,Business Management,C,Manufacturing,Printing,0.01985
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Architecture & Planning,0.01967
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Research,0.01965
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Law Practice,0.01825
2015,Business Skills,Business Management,J,Information and communication,Computer Networking,0.01787
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Public Relations & Communications,0.01749
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Entertainment,0.01734
2015,Business Skills,Business Management,J,Information and communication,Publishing,0.01726
2015,Business Skills,Business Management,J,Information and communication,Computer & Network Security,0.01691
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Translation & Localization,0.01634
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Design,0.0154
2015,Business Skills,Business Management,J,Information and communication,Online Media,0.01465
2015,Business Skills,Business Management,J,Information and communication,Semiconductors,0.01437
2015,Business Skills,Business Management,J,Information and communication,Newspapers,0.01342
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Arts & Crafts,0.01294
2015,Business Skills,Business Management,J,Information and communication,Broadcast Media,0.0124
2015,Business Skills,Business Management,J,Information and communication,Computer Games,0.01111
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Photography,0.01087
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Museums & Institutions,0.01049
2015,Business Skills,Business Management,J,Information and communication,Media Production,0.01049
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Music,0.00966
2015,Business Skills,Business Management,J,Information and communication,Writing & Editing,0.00961
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Performing Arts,0.00867
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Fine Art,0.00728
2015,Business Skills,Business Management,M,Professional scientific and technical activities,Graphic Design,0.00704
2015,Business Skills,Business Management,R,"Arts, entertainment and recreation ",Animation,0.00564
2015,Business Skills,Business Management,J,Information and communication,Motion Pictures & Film,0.00457
2015,Business Skills,Capital Markets,K,Financial and insurance activities,Investment Management,0.09593
2015,Business Skills,Capital Markets,K,Financial and insurance activities,Investment Banking,0.09369
2015,Business Skills,Capital Markets,K,Financial and insurance activities,Venture Capital & Private Equity,0.07075
2015,Business Skills,Capital Markets,K,Financial and insurance activities,Financial Services,0.05979
2015,Business Skills,Capital Markets,K,Financial and insurance activities,Banking,0.05872
2015,Business Skills,Capital Markets,K,Financial and insurance activities,Insurance,0.01705
2015,Business Skills,Capital Markets,M,Professional scientific and technical activities,Accounting,0.00894
2015,Business Skills,Capital Markets,M,Professional scientific and technical activities,Law Practice,0.00519
2015,Business Skills,Capital Markets,M,Professional scientific and technical activities,Management Consulting,0.00506
2015,Business Skills,Capital Markets,M,Professional scientific and technical activities,Legal Services,0.00324
2015,Business Skills,Capital Markets,B,Mining and quarrying,Oil & Energy,0.0029
2015,Business Skills,Capital Markets,B,Mining and quarrying,Mining & Metals,0.00159
2015,Business Skills,Capital Markets,C,Manufacturing,Renewables & Environment,0.00155
2015,Business Skills,Capital Markets,M,Professional scientific and technical activities,Biotechnology,9.50E-04
2015,Business Skills,Capital Markets,J,Information and communication,Information Technology & Services,9.20E-04
2015,Business Skills,Capital Markets,J,Information and communication,Internet,8.40E-04
2015,Business Skills,Capital Markets,J,Information and communication,Semiconductors,6.80E-04
2015,Business Skills,Capital Markets,C,Manufacturing,Food Production,6.50E-04
